cin,company_name,registered_address,incorporation_date,company_status,paid_up_capital_inr
CIN00001,Mahal-More LLC,"126, Taneja Marg, Karaikudi 444202",2017-09-06,Active,8463206
CIN00002,"Butala, Palan and Ghose Group","78/802, Gara Zila, Madurai 519200",2026-01-31,Active,329800
CIN00003,"Shere, Varma and Panchal and Sons","24, Minhas Zila, Barasat-088582",2016-04-29,Active,3725246
CIN00004,Kaur Group Ltd,"H.No. 18, Banerjee Road, Miryalaguda-733662",2020-10-18,Active,2860174
CIN00005,Walla Inc PLC,"H.No. 890, Dua, Aligarh-668314",2024-01-25,Active,8971848
CIN00006,"Dutta, Dara and Bhakta Group","069, Lad Road, Bareilly-075999",2019-06-03,Active,2812232
CIN00007,Doshi and Sons Ltd,"18/29, Gour Ganj, Motihari 668783",2018-11-13,Active,1654551
CIN00008,"Raman, Puri and Dugal and Sons","695, Randhawa Nagar, Gulbarga-743840",2024-05-03,Active,3231879
CIN00009,Kumer-Lal and Sons,"05/510, Kuruvilla Zila, Bhagalpur 365399",2018-12-30,Active,8809752
CIN00010,"Dada, Nazareth and Sood PLC","31, Khare Ganj, Loni 659780",2017-01-06,Active,9585991
CIN00011,"Hayre, Grover and Viswanathan LLC","H.No. 365, Murthy Street, Ujjain 350906",2024-04-21,Active,6356425
CIN00012,Khare-Mitra Inc,"27/39, Parmar Path, Silchar-641783",2024-03-07,Active,8008857
CIN00013,Gopal-Kanda Inc,"H.No. 64, Dara Ganj, Bulandshahr 210181",2018-10-31,Active,9427280
CIN00014,"Sheth, Kapadia and Lata Inc","85/14, Ganesh Marg, Patiala 340800",2016-07-14,Active,7593765
CIN00015,Barad-Cherian LLC,"H.No. 089, Ravi Ganj, Tiruvottiyur-133207",2018-02-03,Active,923743
CIN00016,Kaur Inc LLC,"15, Naik Marg, Darbhanga 616622",2025-02-22,Active,5024837
CIN00017,Anand-Banik Inc,"H.No. 30, Sha Circle, Tezpur 446814",2025-11-01,Active,1507115
CIN00018,Wason-Cherian and Sons,"H.No. 216, Minhas, Bellary-238280",2023-02-17,Active,2836651
CIN00019,"Balakrishnan, Bose and Seshadri and Sons","H.No. 563, Varkey Chowk, Guntur 594081",2018-05-03,Active,4903828
CIN00020,Mani-Gandhi and Sons,"H.No. 493, Mody, Morena-478107",2022-12-11,Active,364379
CIN00021,"Banerjee, Karnik and Khalsa LLC","90/110, Soni Chowk, Meerut-726433",2021-01-11,Active,8241779
CIN00022,"Sarraf, Buch and Sekhon Ltd","63/966, Khatri Road, Begusarai-235750",2017-01-24,Active,3486601
CIN00023,Bains-Solanki Inc,"37, Patil Path, Tiruppur 540710",2018-06-21,Active,4855083
CIN00024,"Divan, Majumdar and Pall and Sons","84/39, Talwar Zila, Belgaum 411863",2021-12-02,Active,5812368
CIN00025,"Pant, Dewan and Tata PLC","747, Bajwa Chowk, Srinagar-133066",2025-09-20,Active,4050093
CIN00026,"Bajaj, Karan and Bala PLC","63, Kale Zila, Panihati-532142",2023-01-06,Active,700740
CIN00027,"Lata, Mahal and Narasimhan LLC","96/859, Bajwa Ganj, Rourkela 040285",2020-05-31,Active,5596095
CIN00028,"Solanki, Chokshi and Mahajan Inc","11/980, Mand Road, Shimoga 166732",2024-10-31,Active,8766374
CIN00029,"Bawa, Ramakrishnan and Iyer and Sons","10/18, Seth Chowk, Guntakal 711220",2025-08-06,Active,2295736
CIN00030,Ghosh-Bhagat Inc,"08/46, Lal Ganj, Adoni 960638",2020-12-18,Active,2776814
CIN00031,Pall-Deo PLC,"H.No. 275, Bansal, Chennai 902480",2022-02-06,Active,9330692
CIN00032,Cherian Ltd Inc,"27, Chawla Ganj, Kollam 949982",2017-05-05,Active,2610779
CIN00033,Deshpande and Sons Ltd,"H.No. 08, Dave Zila, Ahmednagar 258070",2022-09-18,Active,6955772
CIN00034,Sen and Sons PLC,"13, Char, Berhampur-662956",2016-12-18,Active,9501905
CIN00035,Prabhu Group Inc,"08/818, Kade Circle, Rajkot 082477",2022-11-24,Active,1841424
CIN00036,Verma-Mall PLC,"H.No. 572, Bhattacharyya Chowk, Indore 025952",2020-03-12,Active,6110396
CIN00037,"Gupta, Rout and Bassi Inc","50, Rajagopal Nagar, Patna 788039",2026-01-31,Active,171764
CIN00038,"Nayar, Tailor and Pant Ltd","H.No. 588, Prashad Ganj, Narasaraopet 120856",2024-06-06,Active,8784704
CIN00039,Walia Ltd Group,"H.No. 444, Nadig Path, Dehri 341709",2020-12-09,Active,211133
CIN00040,Varghese-Joshi Ltd,"67/731, Grewal, Thiruvananthapuram-247450",2023-02-09,Active,2346574
CIN00041,Raj-Talwar PLC,"24/28, Banik, Bokaro 086656",2023-08-26,Active,9989877
CIN00042,"Halder, Dhawan and Choudhury PLC","23, Mistry Road, Secunderabad-262305",2016-09-14,Active,2423655
CIN00043,"Rana, Dora and Divan Ltd","H.No. 125, Dubey Path, Sri Ganganagar-240580",2020-02-20,Active,5538954
CIN00044,Chada PLC Group,"37/45, Contractor Street, Gandhinagar-897807",2025-11-04,Active,6291743
CIN00045,Vaidya Group PLC,"125, Wagle Path, Amravati-291270",2022-08-16,Active,5489028
CIN00046,Bhatti-Rastogi PLC,"02/19, Mittal Chowk, Amritsar 904886",2023-07-08,Active,2873911
CIN00047,Sankar Ltd and Sons,"04/288, Master Circle, Hosur 557343",2021-09-22,Active,4603852
