directorship_id,person_id,cin,appointment_date
DIR00001,PER00635,CIN00001,2021-08-24
DIR00002,PER00814,CIN00001,2023-08-20
DIR00003,PER00658,CIN00002,2021-03-29
DIR00004,PER00102,CIN00002,2025-12-17
DIR00005,PER00363,CIN00002,2021-06-07
DIR00006,PER00902,CIN00002,2024-09-08
DIR00007,PER00969,CIN00002,2021-04-14
DIR00008,PER00121,CIN00003,2023-03-10
DIR00009,PER00659,CIN00003,2024-12-25
DIR00010,PER00585,CIN00003,2023-08-02
DIR00011,PER00126,CIN00004,2025-10-27
DIR00012,PER00630,CIN00004,2023-02-01
DIR00013,PER00024,CIN00004,2025-03-17
DIR00014,PER00852,CIN00004,2025-07-28
DIR00015,PER00903,CIN00005,2025-10-15
DIR00016,PER00986,CIN00005,2023-04-25
DIR00017,PER00775,CIN00006,2023-10-07
DIR00018,PER00862,CIN00006,2023-05-12
DIR00019,PER00915,CIN00006,2024-03-13
DIR00020,PER00588,CIN00006,2023-04-02
DIR00021,PER00432,CIN00007,2022-07-30
DIR00022,PER00363,CIN00007,2021-11-25
DIR00023,PER00859,CIN00007,2025-05-18
DIR00024,PER00705,CIN00007,2025-03-19
DIR00025,PER00238,CIN00008,2025-04-03
DIR00026,PER00205,CIN00008,2024-09-07
DIR00027,PER00595,CIN00009,2021-05-30
DIR00028,PER00869,CIN00009,2022-04-14
DIR00029,PER00799,CIN00009,2023-09-19
DIR00030,PER00173,CIN00009,2023-05-18
DIR00031,PER00124,CIN00009,2021-11-24
DIR00032,PER00454,CIN00010,2024-10-10
DIR00033,PER00511,CIN00010,2025-11-06
DIR00034,PER00656,CIN00010,2021-05-03
DIR00035,PER00786,CIN00011,2024-11-05
DIR00036,PER00204,CIN00011,2024-06-30
DIR00037,PER00996,CIN00011,2022-01-10
DIR00038,PER00614,CIN00012,2023-05-01
DIR00039,PER00772,CIN00012,2022-10-01
DIR00040,PER00460,CIN00012,2021-05-16
DIR00041,PER00591,CIN00012,2021-03-26
DIR00042,PER00460,CIN00013,2025-03-16
DIR00043,PER00435,CIN00013,2024-03-16
DIR00044,PER00744,CIN00014,2024-01-05
DIR00045,PER00256,CIN00014,2024-03-18
DIR00046,PER00957,CIN00014,2021-12-29
DIR00047,PER00931,CIN00015,2024-11-11
DIR00048,PER00756,CIN00015,2024-03-31
DIR00049,PER00969,CIN00015,2024-10-12
DIR00050,PER00280,CIN00016,2022-09-14
DIR00051,PER00327,CIN00016,2024-02-06
DIR00052,PER00819,CIN00016,2022-12-17
DIR00053,PER00750,CIN00016,2021-06-23
DIR00054,PER00609,CIN00017,2025-04-12
DIR00055,PER00071,CIN00017,2022-06-30
DIR00056,PER00799,CIN00017,2021-06-04
DIR00057,PER00613,CIN00017,2022-05-09
DIR00058,PER00672,CIN00017,2022-04-07
DIR00059,PER00380,CIN00018,2025-07-16
DIR00060,PER00556,CIN00018,2024-03-01
DIR00061,PER00876,CIN00018,2023-08-24
DIR00062,PER00143,CIN00019,2021-10-07
DIR00063,PER00380,CIN00019,2023-06-24
DIR00064,PER00228,CIN00019,2021-08-31
DIR00065,PER00983,CIN00019,2025-08-20
DIR00066,PER00759,CIN00020,2023-11-25
DIR00067,PER00204,CIN00020,2023-02-06
DIR00068,PER00028,CIN00021,2025-11-26
DIR00069,PER00092,CIN00021,2024-08-17
DIR00070,PER00687,CIN00021,2022-09-27
DIR00071,PER00458,CIN00022,2022-02-13
DIR00072,PER00129,CIN00022,2023-05-12
DIR00073,PER00152,CIN00022,2022-09-13
DIR00074,PER00886,CIN00022,2022-03-26
DIR00075,PER00775,CIN00022,2023-01-02
DIR00076,PER00223,CIN00023,2025-06-28
DIR00077,PER00676,CIN00023,2022-09-04
DIR00078,PER00495,CIN00023,2021-03-24
DIR00079,PER00974,CIN00023,2024-02-04
DIR00080,PER00070,CIN00024,2024-11-25
DIR00081,PER00428,CIN00024,2021-11-08
DIR00082,PER00384,CIN00024,2021-07-08
DIR00083,PER00228,CIN00024,2025-09-15
DIR00084,PER00084,CIN00025,2022-11-08
DIR00085,PER00452,CIN00025,2025-08-04
DIR00086,PER00071,CIN00025,2022-02-18
DIR00087,PER00777,CIN00026,2025-10-23
DIR00088,PER00078,CIN00026,2022-05-09
DIR00089,PER00903,CIN00027,2024-07-08
