directorship_id,person_id,cin,appointment_date
DIR00001,PER00575,CIN00001,2023-12-01
DIR00002,PER00246,CIN00001,2024-04-08
DIR00003,PER00799,CIN00001,2021-04-28
DIR00004,PER00298,CIN00002,2025-07-23
DIR00005,PER00926,CIN00002,2025-06-30
DIR00006,PER00071,CIN00003,2024-05-18
DIR00007,PER00881,CIN00003,2022-06-16
DIR00008,PER00644,CIN00004,2024-01-09
DIR00009,PER00748,CIN00004,2021-09-19
DIR00010,PER00693,CIN00005,2024-12-11
DIR00011,PER00299,CIN00005,2021-02-16
DIR00012,PER00843,CIN00005,2025-07-21
DIR00013,PER00281,CIN00005,2023-04-05
DIR00014,PER00576,CIN00006,2023-10-04
DIR00015,PER00799,CIN00006,2021-05-27
DIR00016,PER00568,CIN00007,2021-04-18
DIR00017,PER00480,CIN00007,2022-04-12
DIR00018,PER00807,CIN00007,2021-08-28
DIR00019,PER00267,CIN00008,2025-08-24
DIR00020,PER00695,CIN00008,2022-04-23
DIR00021,PER00968,CIN00008,2020-09-14
DIR00022,PER00480,CIN00008,2025-02-22
DIR00023,PER00282,CIN00009,2021-07-04
DIR00024,PER00327,CIN00009,2022-04-22
DIR00025,PER00549,CIN00010,2025-05-25
DIR00026,PER00810,CIN00010,2021-12-30
DIR00027,PER00716,CIN00010,2021-11-09
DIR00028,PER00132,CIN00010,2021-02-18
DIR00029,PER00061,CIN00011,2021-07-13
DIR00030,PER00022,CIN00011,2023-01-15
DIR00031,PER00407,CIN00011,2023-08-10
DIR00032,PER00847,CIN00011,2021-02-27
DIR00033,PER00448,CIN00011,2021-11-09
DIR00034,PER00331,CIN00012,2021-11-19
DIR00035,PER00444,CIN00012,2022-04-03
DIR00036,PER00220,CIN00012,2020-10-12
DIR00037,PER00738,CIN00012,2022-07-10
DIR00038,PER00023,CIN00012,2025-05-27
DIR00039,PER00959,CIN00013,2024-09-02
DIR00040,PER00870,CIN00013,2025-02-22
DIR00041,PER00944,CIN00014,2024-10-24
DIR00042,PER00539,CIN00014,2022-08-06
DIR00043,PER00767,CIN00014,2021-06-28
DIR00044,PER00339,CIN00014,2023-03-25
DIR00045,PER00540,CIN00015,2021-04-22
DIR00046,PER00860,CIN00015,2021-07-04
DIR00047,PER00784,CIN00016,2022-10-02
DIR00048,PER00368,CIN00016,2021-05-10
DIR00049,PER00061,CIN00016,2024-07-17
DIR00050,PER00979,CIN00016,2023-04-21
DIR00051,PER00662,CIN00016,2022-04-27
DIR00052,PER00473,CIN00017,2022-05-29
DIR00053,PER00421,CIN00017,2021-05-25
DIR00054,PER00635,CIN00017,2021-07-25
DIR00055,PER00160,CIN00017,2024-08-03
DIR00056,PER00997,CIN00018,2021-04-23
DIR00057,PER00662,CIN00018,2023-06-24
DIR00058,PER00779,CIN00018,2025-01-13
DIR00059,PER00020,CIN00019,2020-11-09
DIR00060,PER00601,CIN00019,2024-11-29
DIR00061,PER00299,CIN00019,2023-08-28
DIR00062,PER00491,CIN00019,2022-02-24
DIR00063,PER00792,CIN00019,2021-04-24
DIR00064,PER00287,CIN00020,2021-10-01
DIR00065,PER00668,CIN00020,2023-08-24
DIR00066,PER00466,CIN00020,2022-09-04
DIR00067,PER00931,CIN00020,2021-11-12
DIR00068,PER00514,CIN00021,2022-05-04
DIR00069,PER00098,CIN00021,2023-02-27
DIR00070,PER00516,CIN00022,2024-08-03
DIR00071,PER00980,CIN00022,2024-08-25
DIR00072,PER00060,CIN00022,2023-01-09
DIR00073,PER00575,CIN00022,2024-08-29
DIR00074,PER00576,CIN00023,2022-12-06
DIR00075,PER00487,CIN00023,2022-08-31
DIR00076,PER00141,CIN00023,2021-03-04
DIR00077,PER00827,CIN00023,2021-10-28
DIR00078,PER00593,CIN00024,2021-07-08
DIR00079,PER00185,CIN00024,2023-05-18
DIR00080,PER00315,CIN00024,2023-07-27
DIR00081,PER00993,CIN00024,2024-05-27
DIR00082,PER00531,CIN00025,2023-09-13
DIR00083,PER00423,CIN00025,2021-06-13
DIR00084,PER00729,CIN00025,2022-04-07
